Home,Away,Date,YouTube
"FCKC","PTFC","2013-4-13","uNx1_72lyJk"
"CRS","SRFC","2013-4-14",""
"SBFC","WNYF","2013-4-14","PF9LFYRS_nY"
"BOS","WAS","2013-4-14",""
"WAS","WNYF","2013-4-20",""
"PTFC","SRFC","2013-4-21","7oRs2ZdJ-T0"
"FCKC","SRFC","2013-4-26","d0SHJlZE9Nk"
"CRS","PTFC","2013-4-27",""
"WAS","SBFC","2013-4-27","8ck-rWWWzGI"
"WNYF","BOS","2013-4-27",""
"WNYF","SBFC","2013-5-1",""
"BOS","CRS","2013-5-4",""
"WAS","PTFC","2013-5-4","UH28eq_F440"
"SRFC","FCKC","2013-5-4","5aszCMfWa-E"
"SBFC","CRS","2013-5-8","1zRi0aPpifA"
"WAS","BOS","2013-5-11","BczZ9nsijOA"
"SBFC","SRFC","2013-5-11","Cni2frga8Gk"
"WNYF","FCKC","2013-5-11",""
"CRS","PTFC","2013-5-12",""
"SRFC","WAS","2013-5-16","48ZzDPjMEo8"
"PTFC","SBFC","2013-5-16","yqlwgv11oJ8"
"FCKC","BOS","2013-5-18","r7-5W2q6duw"
"PTFC","WAS","2013-5-19","WR5R1Iudd0M"
"SRFC","SBFC","2013-5-19","ZPxVGQ_8Lj4"
"WNYF","CRS","2013-5-24",""
"BOS","WAS","2013-5-25",""
"SRFC","PTFC","2013-5-25","6_od6JtXdEk"
"FCKC","SBFC","2013-5-25","68cbV8XMrzM"
"PTFC","CRS","2013-6-1","ZOOgWk1RKOQ"
"SBFC","BOS","2013-6-1","C-5OzoT6wU0"
"BOS","WNYF","2013-6-5",""
"PTFC","FCKC","2013-6-6",""
"SBFC","WNYF","2013-6-8","zvh6jnA1MqM"
"CRS","BOS","2013-6-9",""
"SRFC","FCKC","2013-6-9","draeEuHxrLk"
"CRS","FCKC","2013-6-13",""
"WAS","WNYF","2013-6-15","Ey1Kxmm_fCc"
"PTFC","SRFC","2013-6-16","4I6mlLK80k0"
"FCKC","CRS","2013-6-16","Nl8nc_rd-BM"
"BOS","SBFC","2013-6-16",""
"CRS","WNYF","2013-6-19",""
"SBFC","PTFC","2013-6-22","aOLH3kwUMNo"
"FCKC","WAS","2013-6-23","h2W47uzZTS4"
"WNYF","SRFC","2013-6-23",""
"BOS","SRFC","2013-6-26",""
"SBFC","FCKC","2013-6-26","QLxUBwE55To"
"WNYF","WAS","2013-6-28",""
"SRFC","CRS","2013-6-29","NlCPcqnrSBY"
"FCKC","PTFC","2013-6-30","uuvttAzH4XI"
"BOS","SBFC","2013-6-30",""
"SRFC","BOS","2013-7-3","aiumIHx3vlI"
"WAS","FCKC","2013-7-3",""
"CRS","WNYF","2013-7-4",""
