id,home,away,week,date,first_half_start,second_half_start,overtime_one_start,overtime_two_start,penalty_kicks,video_embed_id,video_first,video_second
1528189,WAS,BOS,9,06/06/15,192,3866,0,0,0,_VlbNZq_y7I,"",""
1528190,WNY,CHI,9,06/06/15,946,5044,0,0,0,oNT62d8FgfQ,"",""
1528191,HOU,POR,9,06/06/15,663,4538,0,0,0,d10ws9Ir7wo,"",""
1528192,SEA,NJ,9,06/06/15,351,4149,0,0,0,PmkWPoX7Guk,"",""
1528193,POR,KC,10,06/19/15,1500,5234,0,0,0,J6BFVbw73S4,"",""
1528194,CHI,WAS,10,06/20/15,0,0,0,0,0,Ddrc0KTs0bI,"",""
1528195,HOU,WNY,10,06/20/15,1209,4973,0,0,0,suYqJOauKxs,"",""
1528196,BOS,SEA,10,06/21/15,467,4387,0,0,0,TgXvpVS7sp4,"",""
1528197,WAS,HOU,11,06/27/15,466,4067,0,0,0,8kBY0D3gnhY,"",""
1528198,SEA,KC,11,06/27/15,313,4222,0,0,0,JYtPBSRAyDg,"",""
1528199,BOS,WNY,11,06/28/15,311,4280,0,0,0,TchXc38Jgsg,"",""
1528200,NJ,CHI,11,06/28/15,549,4306,0,0,0,jjEgD34AiqU,"",""
1528201,WNY,SEA,12,07/03/15,776,4721,0,0,0,n7ZfxhfR_fA,"",""
1528202,KC,WAS,12,07/03/15,628,4512,0,0,0,yjp39c1L0qg,"",""
1528203,POR,NJ,12,07/03/15,1286,5142,0,0,0,-wtstFbhsAE,"",""
1528204,BOS,KC,13,07/09/15,749,4695,0,0,0,zZwk4EbxSSs,"",""
1528205,NJ,POR,13,07/11/15,1347,4993,0,0,0,1u085wvA9aE,"",""
1528206,SEA,WNY,13,07/11/15,1653,5485,0,0,0,FFQCKrVgmUE,"",""
1528207,BOS,CHI,15,07/22/15,349,4323,0,0,0,w7384FMPWCQ,"",""
1528208,KC,HOU,14,07/20/15,1246,5035,0,0,0,-nrYRljl0ak,"",""
1528209,WAS,SEA,14,07/18/15,263,3811,0,0,0,V_N4VRyhFTw,"",""
1528210,CHI,BOS,14,07/18/15,448,4487,0,0,0,YgM5KJI2AFg,"",""
1528211,WNY,NJ,14,07/19/15,820,4920,0,0,0,h7xV33WqAZE,"",""
1528212,POR,SEA,15,07/22/15,808,4552,0,0,0,DZsUqt6wTm8,"",""
1528213,CHI,NJ,4,05/02/15,377,4414,0,0,0,IGp2s_M1DuQ,"",""
1528214,WAS,CHI,15,07/25/15,44,4092,0,0,0,Ru-2IPKaEeY,"",""
1528215,WNY,BOS,4,05/02/15,1997,5878,0,0,0,ggKUJ3toHq0,"",""
1528216,HOU,KC,4,05/02/15,877,4706,0,0,0,PmeEUchrDKw,"",""
