id,home,away,week,date,first_half_start,second_half_start,overtime_one_start,overtime_two_start,penalty_kicks,video_embed_id
1528189,WAS,BOS,9,2015-6-6,0,0,0,0,0,""
1528190,WNY,CHI,9,2015-6-6,0,0,0,0,0,""
1528191,HOU,POR,9,2015-6-6,0,0,0,0,0,""
1528192,SEA,NJ,9,2015-6-6,0,0,0,0,0,""
1528193,POR,KC,10,2015-6-19,0,0,0,0,0,""
1528194,CHI,WAS,10,2015-6-20,0,0,0,0,0,""
1528195,HOU,WNY,10,2015-6-20,0,0,0,0,0,""
1528196,BOS,SEA,10,2015-6-21,0,0,0,0,0,""
1528197,WAS,HOU,11,2015-6-27,0,0,0,0,0,""
1528198,SEA,KC,11,2015-6-27,0,0,0,0,0,""
1528199,BOS,WNY,11,2015-6-28,0,0,0,0,0,""
1528200,NJ,CHI,11,2015-6-28,0,0,0,0,0,""
1528201,WNY,SEA,12,2015-7-3,0,0,0,0,0,""
1528202,KC,WAS,12,2015-7-3,0,0,0,0,0,""
1528203,POR,NJ,12,2015-7-3,0,0,0,0,0,""
1528204,BOS,KC,13,2015-7-9,0,0,0,0,0,""
1528205,NJ,POR,13,2015-7-11,0,0,0,0,0,""
1528206,SEA,WNY,13,2015-7-11,0,0,0,0,0,""
1528207,BOS,CHI,15,2015-7-22,0,0,0,0,0,""
1528208,KC,HOU,14,2015-7-20,0,0,0,0,0,""
1528209,WAS,SEA,14,2015-7-18,0,0,0,0,0,""
1528210,CHI,BOS,14,2015-7-18,0,0,0,0,0,""
1528211,WNY,NJ,14,2015-7-19,0,0,0,0,0,""
1528212,POR,SEA,15,2015-7-22,0,0,0,0,0,""
1528213,CHI,NJ,4,2015-5-2,0,0,0,0,0,""
1528214,WAS,CHI,15,2015-7-25,0,0,0,0,0,""
1528215,WNY,BOS,4,2015-5-2,0,0,0,0,0,""
1528216,HOU,KC,4,2015-5-2,0,0,0,0,0,""
1528217,SEA,WAS,4,2015-5-2,0,0,0,0,0,""
1528218,WNY,KC,5,2015-5-8,0,0,0,0,0,""
1528219,CHI,BOS,5,2015-5-9,0,0,0,0,0,""
1528220,NJ,SEA,5,2015-5-9,0,0,0,0,0,""
1528221,WNY,HOU,15,2015-7-25,0,0,0,0,0,""
1528222,POR,WAS,5,2015-5-9,0,0,0,0,0,""
1528223,NJ,BOS,15,2015-7-25,0,0,0,0,0,""
1528224,KC,WNY,6,2015-5-14,0,0,0,0,0,""
1528225,HOU,CHI,6,2015-5-15,0,0,0,0,0,""
1528226,KC,SEA,3,2015-4-23,0,0,0,0,0,""
1528227,CHI,POR,3,2015-4-25,0,0,0,0,0,""
1528228,BOS,POR,6,2015-5-16,0,0,0,0,0,""
1528229,WAS,NJ,6,2015-5-16,0,0,0,0,0,""
1528230,BOS,NJ,7,2015-5-22,0,0,0,0,0,""
1528231,WNY,WAS,7,2015-5-23,0,0,0,0,0,""
1528232,BOS,HOU,3,2015-4-26,0,0,0,0,0,""
1528233,NJ,WAS,3,2015-4-26,0,0,0,0,0,""
1528234,KC,CHI,7,2015-5-23,0,0,0,0,0,""
1528235,POR,HOU,7,2015-5-23,0,0,0,0,0,""
1528236,WAS,KC,2,2015-4-18,0,0,0,0,0,""
1528237,WAS,POR,8,2015-5-30,0,0,0,0,0,""
1528238,POR,WNY,2,2015-4-18,0,0,0,0,0,""
1528239,NJ,HOU,2,2015-4-18,0,0,0,0,0,""
1528240,SEA,POR,15,2015-7-26,0,0,0,0,0,""
1528241,BOS,KC,8,2015-5-30,0,0,0,0,0,""
1528242,CHI,SEA,2,2015-4-18,0,0,0,0,0,""
1528243,SEA,CHI,8,2015-5-30,0,0,0,0,0,""
1528244,KC,NJ,1,2015-4-12,0,0,0,0,0,""
1528245,WNY,POR,16,2015-7-29,0,0,0,0,0,""
1528246,NJ,HOU,8,2015-5-31,0,0,0,0,0,""
1528247,SEA,WNY,1,2015-4-12,0,0,0,0,0,""
1528248,POR,BOS,1,2015-4-11,0,0,0,0,0,""
1528249,HOU,WAS,1,2015-4-10,1033,5240,0,0,0,oFNUMEI6IBI
1528250,HOU,KC,16,2015-7-29,0,0,0,0,0,""
1528253,BOS,SEA,16,2015-8-1,0,0,0,0,0,""
1528256,WAS,HOU,16,2015-8-1,0,0,0,0,0,""
1528257,NJ,WNY,16,2015-8-1,0,0,0,0,0,""
1528258,CHI,KC,16,2015-8-1,0,0,0,0,0,""
1528259,POR,BOS,17,2015-8-5,0,0,0,0,0,""
1528260,HOU,NJ,17,2015-8-7,0,0,0,0,0,""
1528261,BOS,WAS,17,2015-8-8,0,0,0,0,0,""
1528262,KC,WNY,17,2015-8-8,0,0,0,0,0,""
1528263,POR,CHI,17,2015-8-9,0,0,0,0,0,""
1528265,NJ,POR,19,2015-8-22,0,0,0,0,0,""
1528268,CHI,NJ,18,2015-8-12,0,0,0,0,0,""
1528269,KC,BOS,19,2015-8-22,0,0,0,0,0,""
1528270,WAS,WNY,18,2015-8-12,0,0,0,0,0,""
1528271,HOU,SEA,19,2015-8-21,0,0,0,0,0,""
1528272,KC,POR,18,2015-8-12,0,0,0,0,0,""
1528273,SEA,HOU,18,2015-8-12,0,0,0,0,0,""
1528274,CHI,WNY,19,2015-8-23,0,0,0,0,0,""
1528275,KC,WAS,20,2015-8-27,0,0,0,0,0,""
1528280,SEA,BOS,20,2015-8-26,0,0,0,0,0,""
1528281,HOU,CHI,13,2015-7-12,0,0,0,0,0,""
1561948,CHI,WAS,18,2015-8-16,0,0,0,0,0,""
