id,first_name,last_name,full_name,url_name,country
362274,Karina,LeBlanc,Karina LeBlanc,karinaleblanc,Canada
362389,Christie,Rampone,Christie Rampone,christierampone,United States
370166,Lori,Chalupny,Lori Chalupny,lorichalupny,United States
370174,Heather,O'Reilly,Heather O'Reilly,heatheroreilly,United States
370177,Hope,Solo,Hope Solo,hopesolo,United States
370192,Diana,Matheson,Diana Matheson,dianamatheson,Canada
370194,Erin,McLeod,Erin McLeod,erinmcleod,Canada
370200,Christine,Sinclair,Christine Sinclair,christinesinclair,Canada
370203,Rhian,Wilkinson,Rhian Wilkinson,rhianwilkinson,Canada
370261,Nadine,Angerer,Nadine Angerer,nadineangerer,Germany
380557,Nicole,Barnhart,Nicole Barnhart,nicolebarnhart,United States
490133,Amy,LePeilbet,Amy LePeilbet,amylepeilbet,United States
490142,Carli,Lloyd,Carli Lloyd,carlilloyd,United States
490144,Ella,Masar,Ella Masar,ellamasar,United States
490149,Liz,Bogus,Liz Bogus,lizbogus,United States
490150,Rachel,Van Hollebeke,Rachel Van Hollebeke,rachelvanhollebeke,United States
490160,Stephanie,Cox,Stephanie Cox,stephaniecox,United States
490162,Kendall,Fletcher,Kendall Fletcher,kendallfletcher,United States
490174,Joanna,Lohman,Joanna Lohman,joannalohman,United States
490175,Melissa,Tancredi,Melissa Tancredi,melissatancredi,Canada
490191,Ali,Krieger,Ali Krieger,alikrieger,United States
490195,Becky,Sauerbrunn,Becky Sauerbrunn,beckysauerbrunn,United States
490196,Cat,Whitehill,Cat Whitehill,catwhitehill,United States
490446,Amy,Rodriguez,Amy Rodriguez,amyrodriguez,United States
490447,Megan,Rapinoe,Megan Rapinoe,meganrapinoe,United States
490449,Yael,Averbuch,Yael Averbuch,yaelaverbuch,United States
490450,Brittany,Bock,Brittany Bock,brittanybock,United States
490452,Allie,Long,Allie Long,allielong,United States
490453,Alex,Singer,Alex Singer,alexsinger,""
490462,Tiffany,Weimer,Tiffany Weimer,tiffanyweimer,United States
490478,Niki,Cross,Niki Cross,nikicross,""
490481,Becca,Moros,Becca Moros,beccamoros,United States
490484,Jen,Buczkowski,Jen Buczkowski,jenbuczkowski,United States
490485,Leigh Ann,Robinson,Leigh Ann Robinson,leighannrobinson,United States
490488,Lauren,Sesselmann,Lauren Sesselmann,laurensesselmann,Canada
490490,McCall,Zerboni,McCall Zerboni,mccallzerboni,United States
490933,Brittany,Cameron,Brittany Cameron,brittanycameron,United States
490937,Ashley,Nick,Ashley Nick,ashleynick,United States
490941,Mele,French,Mele French,melefrench,""
495283,Michelle,Lomnicki,Michelle Lomnicki,michellelomnicki,United States
537234,Tobin,Heath,Tobin Heath,tobinheath,United States
537235,Lauren,Holiday,Lauren Holiday,laurenholiday,United States
537236,Kelley,O'Hara,Kelley O'Hara,kelleyohara,United States
537237,Whitney,Engen,Whitney Engen,whitneyengen,United States
537240,Brittany,Taylor,Brittany Taylor,brittanytaylor,United States
537244,Kiersten,Dallstream,Kiersten Dallstream,kierstendallstream,United States
537246,Alyssa,Naeher,Alyssa Naeher,alyssanaeher,United States
537247,Becky,Edwards,Becky Edwards,beckyedwards,United States
537259,Jessica,McDonald,Jessica McDonald,jessicamcdonald,United States
537260,Jordan,Angeli,Jordan Angeli,jordanangeli,United States
537263,Ashlyn,Harris,Ashlyn Harris,ashlynharris,United States
537272,Estelle,Johnson,Estelle Johnson,estellejohnson,United States
537273,Katie,Schoepfer,Katie Schoepfer,katieschoepfer,United States
